locationId,rate,2015,2016,2017
06077,Total de víctimas de trata de personas por provincia de origen,,,
06077,Total de víctimas de trata de personas por provincia de captación,,,
06035,Total de hechos delictivos,9136,9350,9988
06035,Total de víctimas de delitos contra las personas,2690,2065,2182
06035,Total de víctimas de homicidios dolosos,30,23,30
06035,Total de víctimas de lesiones dolosas,1530,668,672
06035,Total de víctimas de muertes en siniestros viales,8,14,15
06035,Total de víctimas de lesiones culposas en siniestros viales,435,1151,1324
06035,Total de víctimas de violaciones,17,24,30
06035,Total de víctimas de otros delitos contra la integridad sexual,65,47,47
06035,Total de hechos de amenazas,1877,1125,1125
06035,Total de delitos contra la propiedad,3837,5104,5344
06035,Total de hechos de robos,1963,2895,3156
06035,Total de hechos de hurtos,900,1387,1397
06035,Total de víctimas de trata de personas por provincia de origen,,,
06035,Total de víctimas de trata de personas por provincia de captación,,,
06042,Total de hechos delictivos,105,156,206
06042,Total de víctimas de delitos contra las personas,34,27,40
06042,Total de víctimas de homicidios dolosos,3,0,0
06042,Total de víctimas de lesiones dolosas,8,9,16
06042,Total de víctimas de muertes en siniestros viales,6,5,3
06042,Total de víctimas de lesiones culposas en siniestros viales,13,9,18
06042,Total de víctimas de violaciones,1,1,2
06042,Total de víctimas de otros delitos contra la integridad sexual,5,1,0
06042,Total de hechos de amenazas,7,4,7
06042,Total de delitos contra la propiedad,46,67,70
06042,Total de hechos de robos,14,24,20
06042,Total de hechos de hurtos,22,33,43
06042,Total de víctimas de trata de personas por provincia de origen,,,
06042,Total de víctimas de trata de personas por provincia de captación,,,
06049,Total de hechos delictivos,1227,913,731
06049,Total de víctimas de delitos contra las personas,371,251,178
06049,Total de víctimas de homicidios dolosos,6,1,6
06049,Total de víctimas de lesiones dolosas,217,78,68
06049,Total de víctimas de muertes en siniestros viales,29,11,11
06049,Total de víctimas de lesiones culposas en siniestros viales,100,126,79
06049,Total de víctimas de violaciones,2,4,5
06049,Total de víctimas de otros delitos contra la integridad sexual,26,2,7
06049,Total de hechos de amenazas,214,51,38
06049,Total de delitos contra la propiedad,549,473,297
06049,Total de hechos de robos,137,148,87
06049,Total de hechos de hurtos,270,235,143
06049,Total de víctimas de trata de personas por provincia de origen,,,
06049,Total de víctimas de trata de personas por provincia de captación,,,
06056,Total de hechos delictivos,5320,4151,4740
06056,Total de víctimas de delitos contra las personas,1443,755,952
06056,Total de víctimas de homicidios dolosos,11,10,11
06056,Total de víctimas de lesiones dolosas,1125,335,403
06056,Total de víctimas de muertes en siniestros viales,26,18,21
06056,Total de víctimas de lesiones culposas en siniestros viales,212,233,469
06056,Total de víctimas de violaciones,1,22,60
06056,Total de víctimas de otros delitos contra la integridad sexual,140,11,13
06056,Total de hechos de amenazas,544,169,253
06056,Total de delitos contra la propiedad,2293,2209,2136
06056,Total de hechos de robos,886,893,741
06056,Total de hechos de hurtos,806,801,850
06056,Total de víctimas de trata de personas por provincia de origen,,,
06056,Total de víctimas de trata de personas por provincia de captación,,,
06063,Total de hechos delictivos,558,407,307
06063,Total de víctimas de delitos contra las personas,108,60,41
06063,Total de víctimas de homicidios dolosos,2,1,3
06063,Total de víctimas de lesiones dolosas,90,33,28
06063,Total de víctimas de muertes en siniestros viales,1,1,2
06063,Total de víctimas de lesiones culposas en siniestros viales,8,13,6
06063,Total de víctimas de violaciones,0,1,5
06063,Total de víctimas de otros delitos contra la integridad sexual,1,1,1
06063,Total de hechos de amenazas,129,45,24
06063,Total de delitos contra la propiedad,281,212,121
06063,Total de hechos de robos,114,85,47
06063,Total de hechos de hurtos,79,67,38
06063,Total de víctimas de trata de personas por provincia de origen,,,
06063,Total de víctimas de trata de personas por provincia de captación,,,
06070,Total de hechos delictivos,324,481,486
06070,Total de víctimas de delitos contra las personas,51,102,110
06070,Total de víctimas de homicidios dolosos,0,2,1
06070,Total de víctimas de lesiones dolosas,16,48,40
06070,Total de víctimas de muertes en siniestros viales,8,3,6
06070,Total de víctimas de lesiones culposas en siniestros viales,24,43,54
06070,Total de víctimas de violaciones,0,4,7
06070,Total de víctimas de otros delitos contra la integridad sexual,0,1,0
06070,Total de hechos de amenazas,16,44,64
06070,Total de delitos contra la propiedad,106,200,150
06070,Total de hechos de robos,25,54,37
06070,Total de hechos de hurtos,21,48,30
06070,Total de víctimas de trata de personas por provincia de origen,,,
06070,Total de víctimas de trata de personas por provincia de captación,,,
06084,Total de hechos delictivos,382,365,264
06084,Total de víctimas de delitos contra las personas,96,125,104
06084,Total de víctimas de homicidios dolosos,3,1,2
06084,Total de víctimas de lesiones dolosas,73,27,25
06084,Total de víctimas de muertes en siniestros viales,1,9,8
06084,Total de víctimas de lesiones culposas en siniestros viales,15,42,63
06084,Total de víctimas de violaciones,0,2,4
06084,Total de víctimas de otros delitos contra la integridad sexual,8,5,0
06084,Total de hechos de amenazas,63,37,19
06084,Total de delitos contra la propiedad,111,90,88
06084,Total de hechos de robos,18,24,22
06084,Total de hechos de hurtos,44,38,42
06084,Total de víctimas de trata de personas por provincia de origen,,,
06084,Total de víctimas de trata de personas por provincia de captación,,,
06091,Total de hechos delictivos,8837,7721,9277
06091,Total de víctimas de delitos contra las personas,2940,2099,2256
06091,Total de víctimas de homicidios dolosos,23,14,19
06091,Total de víctimas de lesiones dolosas,1860,991,1007
06091,Total de víctimas de muertes en siniestros viales,13,17,19
06091,Total de víctimas de lesiones culposas en siniestros viales,589,919,997
06091,Total de víctimas de violaciones,16,15,9
06091,Total de víctimas de otros delitos contra la integridad sexual,54,57,48
06091,Total de hechos de amenazas,1426,1195,1285
06091,Total de delitos contra la propiedad,3076,2611,3093
06091,Total de hechos de robos,1099,739,1043
06091,Total de hechos de hurtos,635,564,552
06091,Total de víctimas de trata de personas por provincia de origen,,,
06091,Total de víctimas de trata de personas por provincia de captación,,,
06098,Total de hechos delictivos,1894,1677,2310
06098,Total de víctimas de delitos contra las personas,446,513,573
06098,Total de víctimas de homicidios dolosos,3,5,2
06098,Total de víctimas de lesiones dolosas,233,230,293
06098,Total de víctimas de muertes en siniestros viales,1,17,5
06098,Total de víctimas de lesiones culposas en siniestros viales,108,212,247
06098,Total de víctimas de violaciones,1,4,4
06098,Total de víctimas de otros delitos contra la integridad sexual,4,1,3
06098,Total de hechos de amenazas,485,270,318
06098,Total de delitos contra la propiedad,609,640,1097
06098,Total de hechos de robos,217,231,500
06098,Total de hechos de hurtos,166,188,298
06098,Total de víctimas de trata de personas por provincia de origen,,,
06098,Total de víctimas de trata de personas por provincia de captación,,,
06105,Total de hechos delictivos,315,396,337
06105,Total de víctimas de delitos contra las personas,55,60,96
06105,Total de víctimas de homicidios dolosos,0,2,1
06105,Total de víctimas de lesiones dolosas,11,14,6
06105,Total de víctimas de muertes en siniestros viales,12,7,3
06105,Total de víctimas de lesiones culposas en siniestros viales,21,26,84
06105,Total de víctimas de violaciones,0,1,3
06105,Total de víctimas de otros delitos contra la integridad sexual,14,1,2
06105,Total de hechos de amenazas,29,32,10
06105,Total de delitos contra la propiedad,162,155,118
06105,Total de hechos de robos,50,48,30
06105,Total de hechos de hurtos,50,63,60
06105,Total de víctimas de trata de personas por provincia de origen,,,
06105,Total de víctimas de trata de personas por provincia de captación,,,
06112,Total de hechos delictivos,895,751,955
06112,Total de víctimas de delitos contra las personas,294,249,348
06112,Total de víctimas de homicidios dolosos,1,0,0
06112,Total de víctimas de lesiones dolosas,163,114,153
06112,Total de víctimas de muertes en siniestros viales,4,4,2
06112,Total de víctimas de lesiones culposas en siniestros viales,98,125,178
06112,Total de víctimas de violaciones,0,1,6
06112,Total de víctimas de otros delitos contra la integridad sexual,26,1,2
06112,Total de hechos de amenazas,130,93,117
06112,Total de delitos contra la propiedad,333,286,294
06112,Total de hechos de robos,72,62,50
06112,Total de hechos de hurtos,119,91,88
06112,Total de víctimas de trata de personas por provincia de origen,,,
06112,Total de víctimas de trata de personas por provincia de captación,,,
06119,Total de hechos delictivos,531,570,888
06119,Total de víctimas de delitos contra las personas,174,131,211
06119,Total de víctimas de homicidios dolosos,1,0,2
06119,Total de víctimas de lesiones dolosas,93,55,104
06119,Total de víctimas de muertes en siniestros viales,0,2,8
06119,Total de víctimas de lesiones culposas en siniestros viales,14,58,85
06119,Total de víctimas de violaciones,1,7,11
06119,Total de víctimas de otros delitos contra la integridad sexual,5,3,1
06119,Total de hechos de amenazas,138,91,146
06119,Total de delitos contra la propiedad,164,269,291
06119,Total de hechos de robos,49,90,101
06119,Total de hechos de hurtos,47,102,90
06119,Total de víctimas de trata de personas por provincia de origen,,,
06119,Total de víctimas de trata de personas por provincia de captación,,,
06126,Total de hechos delictivos,2958,2561,2700
06126,Total de víctimas de delitos contra las personas,763,558,681
06126,Total de víctimas de homicidios dolosos,7,10,8
06126,Total de víctimas de lesiones dolosas,500,230,286
06126,Total de víctimas de muertes en siniestros viales,2,12,16
06126,Total de víctimas de lesiones culposas en siniestros viales,62,226,316
06126,Total de víctimas de violaciones,7,7,17
06126,Total de víctimas de otros delitos contra la integridad sexual,39,1,3
06126,Total de hechos de amenazas,414,250,255
06126,Total de delitos contra la propiedad,1425,1457,1338
06126,Total de hechos de robos,715,756,706
06126,Total de hechos de hurtos,440,496,448
06126,Total de víctimas de trata de personas por provincia de origen,,,
06126,Total de víctimas de trata de personas por provincia de captación,,,
06134,Total de hechos delictivos,1465,734,897
06134,Total de víctimas de delitos contra las personas,364,103,162
06134,Total de víctimas de homicidios dolosos,4,1,2
06134,Total de víctimas de lesiones dolosas,235,49,66
06134,Total de víctimas de muertes en siniestros viales,3,3,12
06134,Total de víctimas de lesiones culposas en siniestros viales,23,26,72
06134,Total de víctimas de violaciones,3,7,1
06134,Total de víctimas de otros delitos contra la integridad sexual,19,3,1
06134,Total de hechos de amenazas,386,88,74
06134,Total de delitos contra la propiedad,653,416,301
06134,Total de hechos de robos,257,251,130
06134,Total de hechos de hurtos,173,108,83
06134,Total de víctimas de trata de personas por provincia de origen,,,
06134,Total de víctimas de trata de personas por provincia de captación,,,
06140,Total de hechos delictivos,659,436,514
06140,Total de víctimas de delitos contra las personas,161,184,179
06140,Total de víctimas de homicidios dolosos,2,0,0
06140,Total de víctimas de lesiones dolosas,61,74,58
06140,Total de víctimas de muertes en siniestros viales,13,0,3
06140,Total de víctimas de lesiones culposas en siniestros viales,39,85,114
06140,Total de víctimas de violaciones,3,2,1
06140,Total de víctimas de otros delitos contra la integridad sexual,11,1,1
06140,Total de hechos de amenazas,166,58,73
06140,Total de delitos contra la propiedad,250,118,143
06140,Total de hechos de robos,46,19,21
06140,Total de hechos de hurtos,103,54,52
06140,Total de víctimas de trata de personas por provincia de origen,,,
06140,Total de víctimas de trata de personas por provincia de captación,,,
06147,Total de hechos delictivos,542,390,393
06147,Total de víctimas de delitos contra las personas,170,111,167
06147,Total de víctimas de homicidios dolosos,0,1,1
06147,Total de víctimas de lesiones dolosas,115,68,61
06147,Total de víctimas de muertes en siniestros viales,3,0,2
